"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Leptospirosis","Confirmed cases","Reported cases","N","2008","AT","Austria",11.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","BE","Belgium",5.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","BG","Bulgaria",9.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","CY","Cyprus",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","CZ","Czechia",17.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","DE","Germany",66.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","DK","Denmark",8.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","EE","Estonia",2.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","EL","Greece",12.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","ES","Spain",5.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","EU27_21","EU (without UK)",523.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","EU27_UK_21","EU (with UK until 2019)",599.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","EUEEA30_21","EU/EEA (without UK)",523.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","EUEEAUK_21","EU/EEA (with UK until 2019)",599.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","FI","Finland",8.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","HU","Hungary",15.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","IE","Ireland",29.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","IT","Italy",40.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","LT","Lithuania",2.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","LU","Luxembourg",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","LV","Latvia",3.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","MT","Malta",2.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","NL","Netherlands",37.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","PL","Poland",2.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","PT","Portugal",15.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","RO","Romania",200.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","SE","Sweden",6.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","SI","Slovenia",6.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","SK","Slovakia",23.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","UK","United Kingdom",76.000000000,""
